property_id,property_url,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,primary_image_url,breadcrumbs,amenities,description
Bayut - HI-R-07250,https://www.bayut.com/property/details-11870717.html,For Rent,Apartment,09-Jun-25,Unfurnished,"{'currency': 'AED', 'amount': '120,000'}",Dubai Creek Harbour,"{'bedrooms': '1', 'bathrooms': '1', 'size': '641 sqft'}",,Dragana Crepajac,https://images.bayut.com/thumbnails/778469273-800x600.jpeg,,,
Bayut - LEA242397_L,https://www.bayut.com/property/details-8987274.html,For Rent,Apartment,22-Apr-25,Unfurnished,"{'currency': 'AED', 'amount': '210,000'}",Downtown Dubai,"{'bedrooms': '2', 'bathrooms': '2', 'size': '1,052 sqft'}",,Jake Walton,https://images.bayut.com/thumbnails/692943520-800x600.jpeg,,,
Bayut - 101578-wlqtbg,https://www.bayut.com/property/details-11706843.html,For Rent,Apartment,20-May-25,Furnished,"{'currency': 'AED', 'amount': '210,000'}",Jumeirah Beach Residence (JBR),"{'bedrooms': '2', 'bathrooms': '3', 'size': '1,516 sqft'}",,Mahmoud Abdelghany Mohamed Gomaa,https://images.bayut.com/thumbnails/775552384-800x600.jpeg,,,
Bayut - Haseeb351MirS02,https://www.bayut.com/property/details-10511085.html,For Rent,Apartment,10-Apr-25,Furnished,"{'currency': 'AED', 'amount': '46,000'}",Arjan,"{'bedrooms': '1', 'bathrooms': '2', 'size': '405 sqft'}",,Haseeb Sheikh,https://images.bayut.com/thumbnails/754049372-800x600.jpeg,,,
Bayut - AP19990L,https://www.bayut.com/property/details-11043207.html,For Rent,Apartment,05-Mar-25,Unfurnished,"{'currency': 'AED', 'amount': '90,000'}",Jumeirah Lake Towers (JLT),"{'bedrooms': '1', 'bathrooms': '2', 'size': '854 sqft'}",,Ozge Abdelkader,https://images.bayut.com/thumbnails/778979443-800x600.jpeg,,,
Bayut - 106824-MHD,https://www.bayut.com/property/details-11658155.html,For Rent,Apartment,15-May-25,Furnished,"{'currency': 'AED', 'amount': '64,999'}",Al Jaddaf,"{'bedrooms': ""{'@type': 'QuantitativeValue', 'name': 'Bedroom(s)', 'value': '0'}"", 'bathrooms': '1', 'size': '520 sqft'}",,Mohammad Tbakhi,https://images.bayut.com/thumbnails/774438124-800x600.jpeg,,,
Bayut - NOVVI-6563,https://www.bayut.com/property/details-11783045.html,For Rent,Apartment,28-May-25,,"{'currency': 'AED', 'amount': '80,000'}",Meydan City,"{'bedrooms': '1', 'bathrooms': '1', 'size': '591 sqft'}",,Brian Flanagan,https://images.bayut.com/thumbnails/776815660-800x600.jpeg,,,
Bayut - NOVVI-6811,https://www.bayut.com/property/details-11870007.html,For Rent,Apartment,09-Jun-25,,"{'currency': 'AED', 'amount': '85,000'}",Meydan City,"{'bedrooms': '1', 'bathrooms': '1', 'size': '654 sqft'}",,Brian Flanagan,https://images.bayut.com/thumbnails/778983431-800x600.jpeg,,,
Bayut - DHE-NH-PHTS2-3BR-3,https://www.bayut.com/property/details-11244097.html,For Rent,Apartment,02-Apr-25,Unfurnished,"{'currency': 'AED', 'amount': '209,000'}",Dubai Hills Estate,"{'bedrooms': '1', 'bathrooms': '2', 'size': '1,609 sqft'}",,Naveed Hussain,https://images.bayut.com/thumbnails/769433325-800x600.jpeg,,,
Bayut - AQ-R-25-00374,https://www.bayut.com/property/details-11373383.html,For Rent,Apartment,17-Apr-25,Furnished,"{'currency': 'AED', 'amount': '135,000'}",Jumeirah,"{'bedrooms': '1', 'bathrooms': '2', 'size': '790 sqft'}",,Jorge Alberto Ospina Serrano,https://images.bayut.com/thumbnails/769512131-800x600.jpeg,,,
